Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
General cargo ship,15,0,0,0,0,0,0,0,Division by zero!,Division by zero!,#VALUE!
Ro-ro ship,25.49,3463.62,11104.37,5842.68,2206.91,1945.98,1108.79,5395.2,48.58,155.74,71.3
Chemical tanker,10.28,2093.08,6598.57,551.97,1702.38,3636.52,707.71,1841.38,120.8,380.83,17.33
Bulk carrier,7.35,1949.32,6189.26,676.68,2215.54,3077.44,219.61,2079.53,81.81,259.75,23.83
Bulk carrier,7.06,1348.27,4264.83,229.97,2283.63,1567.87,183.37,1798.9,66.3,209.73,20.34
Bulk carrier,7.35,1002.53,3151.44,133.52,748.51,2183.52,85.89,973.67,94.41,296.77,10.62
Bulk carrier,7.07,738.06,2316.53,0,1261.8,866.42,188.31,728.3,89.11,279.67,8.28
Oil tanker,4.48,2777.6,8685.52,895.06,2234.79,4895.84,659.82,1523.1,146.36,457.66,18.98
Oil tanker,4.58,1906.68,5966.74,0,1600.7,3793.84,572.2,1148.3,133.91,419.04,14.24
Container ship,35.82,1895.7,5982.03,493.41,2928.43,2428.64,131.56,2778.42,59.49,187.72,31.87
Oil tanker,3.9,2836.4,8932.97,749.65,4725.24,2374.13,1083.95,2457.93,150.05,472.58,18.9
Chemical tanker,11.01,2383.05,7549.12,570.15,2904.32,3409.25,665.4,3114.4,64.22,203.43,37.11
Gas carrier,14.51,5993.09,18763.74,2294.31,7547.91,8574.93,346.58,5913.4,88.6,277.39,67.64
Bulk carrier,3.75,1753.16,5506.39,176.55,2091.69,2943.14,295.01,1522.15,95.48,299.87,18.36
Bulk carrier,5.9,876,2760.83,0,2560,174,30,952,89.29,281.4,9.81
Bulk carrier,5.9,213.1,673.48,0,342,272,59,215,81.68,258.14,2.61
Vehicle carrier,22.1,2180,6882.66,1068,2092,3577,149,1238,112.37,354.76,19.4
Container ship,27.9,2317.74,7239.5,2095.59,1698.03,2935.71,510.17,2322.7,83.17,259.78,27.87
Container ship,28.13,4215.83,13288.08,9318.47,1091.49,1187.53,1690.61,4318.7,87.76,276.62,48.04
Oil tanker,4.98,2024.53,6356.48,420.23,3098.18,2428.93,409.15,1231.6,141.96,445.72,14.26
Oil tanker,14.48,2212.29,7074.43,3480.27,1125.98,1439.92,1028.27,3386.57,65.62,209.84,33.71
Container ship,26.96,1174.81,3672.14,1505.86,1529.81,289.68,346.78,969.2,102.31,319.8,11.48
Container ship,21.51,4950.11,15630.21,13827.85,0,0,1802.38,4653,93.44,295.04,52.98
Container ship,22.43,4296.1,13586.44,10993.4,677.8,198.8,1716.7,4608,82.12,259.71,52.31
Chemical tanker,7.77,4094.15,12847.4,1563.27,4243.72,5642.28,1398.11,3327.11,120.44,377.94,33.99
Chemical tanker,7.78,594.1,1852.74,0,417,1413.61,22.12,556.61,87.46,272.74,6.79
Oil tanker,14.32,3001.6,9418.04,7121.2,328.6,413.3,1556,3036.1,109.58,343.84,27.39
Oil tanker,14.85,4147.58,13022.29,10716.1,123.7,149.8,2033.3,3298.1,124.35,390.41,33.35
Chemical tanker,12.52,808.85,2530.08,384.23,1046.35,1044.23,0,1652.22,52.45,164.08,15.42
Chemical tanker,11.41,495.01,1560.24,0,288.33,970.12,270.84,643.18,70.67,222.73,7
Passenger ship,3.3,31048,96979.99,61876,11533,9165,14404,5941.3,393.68,1229.68,78.87
Passenger ship,3.08,32597,102110.46,81826,1214,5025,14045,4252.7,479.9,1503.28,67.92
General cargo ship,22.63,2929,9155.35,1670,2650,3860,977,3259,71.62,223.85,40.9
General cargo ship,22.54,2887,9106.83,2163,2606,3741,594,3166,72.99,230.23,39.55
General cargo ship,20.05,1103.7,3499.08,529.4,1047.9,1621.4,300.2,1503,58.98,186.98,18.71
Oil tanker,17.95,230,737.38,80.15,313.87,147.96,195.41,715.53,88.91,285.05,2.59
Container ship,24.86,905.3,2864.83,241.01,1124.04,1298.54,201.24,1951.1,74.14,234.6,12.21
Chemical tanker,6.57,2114.94,6663.94,1088.21,2452.35,2223.56,899.84,2306.78,88.29,278.2,23.95
Chemical tanker,6.56,7567.9,23829.67,5633.27,2143.25,630.03,15423.13,4872.7,262.2,825.62,28.86
Ro-pax ship,28.03,10549.67,32897.96,22134.84,3996.77,4116.48,2649.87,3326.51,175.19,546.3,60.22
Vehicle carrier,24.96,299.85,946.72,0,0,946.73,0,224.1,99.98,315.68,3
Other ship types,9.61,4992.1,15564.3,0,7541.73,7544.23,478.34,3960.6,97.35,303.52,51.28
LNG carrier,7.25,24474.41,76392.46,0,42255.44,33269.69,867.33,4251.4,374.67,1169.46,65.32
LNG carrier,6.44,11278.42,35586.06,0,13096.91,22133.93,355.22,2360.47,342.28,1079.96,32.95
LNG carrier,6.88,8103.4,25555.39,0,12045.19,13233.05,277.15,1342,366.19,1154.84,22.13
LNG carrier,7.27,14259.82,44475.8,0,18790.5,25247.35,437.94,2726.1,360.15,1123.3,39.59
LNG carrier,7.25,10035.32,31671.34,0,19432.71,11508.37,730.27,1796.4,347.82,1097.72,28.85
LNG carrier,10.31,5548.1,17488.48,0,8383.54,8797.82,307.12,1240.07,306.78,967.02,18.08
LNG carrier,10.31,3447.38,10747.79,0,4630.51,5863.21,254.05,602.8,360.64,1124.36,9.56
LNG carrier,10.31,19075.3,59771.9,0,30372.28,28383.24,1016.39,3540.8,377.74,1183.63,50.5
LNG carrier,7.27,21574.6,67021.63,0,32930.35,33623.85,467.43,3429.9,401.18,1246.26,53.78
LNG carrier,7.2,8555.8,26606.02,0,12669.83,13602.77,333.42,1611.6,357.18,1110.71,23.95
LNG carrier,7.07,18774.4,58226.77,0,27525.6,29993.29,707.88,3139.5,390.16,1210.04,48.12
LNG carrier,8.56,14690.8,45842.12,0,25481.24,19695.63,665.25,2794.6,323.83,1010.5,45.37
Chemical tanker,10.54,1710.42,5393.54,559.13,1486.54,3155.4,192.49,2052.8,70.92,223.64,24.12
Oil tanker,11.3,498.85,1564.13,410.51,16.67,1080.53,56.43,500.97,94,294.73,5.31
Chemical tanker,10.49,481.93,1522.43,73.1,276.97,1001.43,170.92,651.5,67.77,214.1,7.11
Container ship,38.31,2425.8,7560.38,661.62,3457.79,3409.23,31.74,2371.43,70.88,220.91,34.22
Container ship,36.34,3077.64,9749.08,3243.43,3056.19,2962.6,486.89,4619.5,76.19,241.35,40.39
Container ship,35.5,5468,17064.89,11110,1984,2837,1134,5070,93.69,292.39,58.36
Chemical tanker,17.74,2247.61,7069.16,5631.14,0,0,1438.02,2683.09,75.57,237.69,29.74
Chemical tanker,14.13,3843.78,12057.97,10135.91,0,0,1922.06,3770.24,88.06,276.25,43.65
General cargo ship,10.17,1823.64,5747.24,2230,1284,1995,237.7,4383,42.25,133.17,43.16
Bulk carrier,3.79,237.55,751.13,0,184.34,399.92,166.87,198,101.78,321.82,2.33
Bulk carrier,3.79,838.38,2617.45,0,718.57,1826.68,72.2,653,105.86,330.49,7.92
Bulk carrier,3.98,675.45,2115.62,0,196.77,1777.27,141.58,626,112.48,352.31,6.01
General cargo ship,13.96,88.8,284.7,1.28,105.48,169.92,8.02,572.2,24.25,77.73,3.66
Chemical tanker,11.53,838.39,2620.79,0,1722,809,89,1299,65.87,205.91,12.73
Oil tanker,3.73,1749.07,5538.91,0,2382.31,2628.45,528.16,1052.5,141.53,448.18,12.36
Bulk carrier,5.73,761.93,2404.55,409.82,493.34,1358.09,143.3,1165.4,76.99,242.97,9.9
Vehicle carrier,25.51,6620.9,20753.58,6070.4,8190.84,5300.67,1191.51,5144.8,140.82,441.42,47.02
Vehicle carrier,22.63,572,1804.64,144.95,477.69,1049.91,132.09,310.6,114.58,361.51,4.99
Chemical tanker,9,1922.39,6036.46,2641.15,1560.34,1408.34,348.72,3206.61,57.89,181.77,33.21
Bulk carrier,5.35,1514.44,4733.85,0,1545.12,2795.39,393.34,1321.5,95.42,298.27,15.87
Bulk carrier,4.04,1090.49,3447.71,29,1300,1957,162,949,97.57,308.46,11.18
Container ship,23.95,120.8,378.21,0,227.53,108.82,41.86,182.3,78.47,245.67,1.54
Container ship,25.1,2303.2,7268.29,1413.26,2559.67,3058.77,236.59,2377.79,140.89,444.63,16.35
Container ship,26.36,2805.6,8741.68,1004.39,5341.06,2238.03,158.19,2173.5,106.11,330.62,26.44
Container ship,25.1,519.85,1642.03,28.21,38.33,1444.91,130.6,324.4,146.48,462.7,3.55
Passenger ship,18.85,15802.02,49828.25,31640.91,4715.04,6462.62,7009.64,4078.57,278.13,877.02,56.82
Other ship types,23.49,885.93,2769.4,178.62,1862.12,720,8.66,989.28,62.25,194.59,14.23
Other ship types,23.93,1016.82,3178.79,214.83,2792.93,131.27,39.75,1381.65,57.79,180.67,17.6
General cargo ship,13.38,1388.69,4381.27,1867.76,1002.98,1167.5,343,3325.3,47.15,148.74,29.45
Container ship,18.1,1082.11,3383.8,277.98,1530.3,1520.52,55.01,780.4,101,315.83,10.71
Container ship,21.11,4690.64,14623.51,6672.46,5833.83,1019.55,1097.69,3755.44,107.21,334.23,43.75
Container ship,3.00E+01,1672,5291.97,1284,1590,1774,645,1685,101.06,319.87,16.54
Bulk carrier,4.35,406.16,1281.04,0,513,683,85,276,121.42,382.97,3.35
Bulk carrier,3.02,1673.13,5213.84,53.88,2661.56,2364.36,134.02,809.19,186.36,580.74,8.98
Bulk carrier,3.02,3292.71,10282.02,1357.95,3122.41,5401.36,400.33,1765.23,174.45,544.74,18.87
Bulk carrier,3.02,2297.35,7195.84,400.37,3232.91,3226.12,336.41,1216.7,167.46,524.52,13.72
Bulk carrier,3.18,4588.4,14315.44,1494.09,2022.89,10344.67,453.8,2577.7,169.08,527.51,27.14
Bulk carrier,4.52,1021.32,3245.99,0,1428.33,1730.23,87.43,926.93,104.01,330.58,9.82
Bulk carrier,4.33,927.02,2934.54,494.24,0,2283.37,156.93,808.91,113.57,359.5,8.16
Bulk carrier,7.34,765.88,2415.37,0,308,1985,123,1124,61.12,192.77,12.53
General cargo ship,7.84,762.36,2397.42,0,867.52,1426.85,103.39,723,86.06,270.65,8.86
General cargo ship,6.84,1029.6,3222.48,217.67,423.19,2342.79,238.8,986.35,84.89,265.68,12.13
Container ship,19.47,8170.42,25932.12,1250.98,11130.48,12800.17,750.49,4226.3,127.48,404.61,64.09
Oil tanker,6.35,1894.9,5922.2,296.3,1773.4,3475.2,377.2,2481.8,132.43,413.88,14.31
Oil tanker,7.23,2059.18,6467.69,1019.34,1512.13,3183.51,752.71,1675.65,101.56,318.98,20.28
Other ship types,20.88,1943.2,6141.32,2220.17,1931.12,1768.81,221.21,4040.4,43.98,139.01,44.18
General cargo ship,13.57,658.81,2061.75,0,1525.64,514.73,21.38,991.43,58.86,184.21,11.19
Bulk carrier,4.95,911.19,2840.56,450.37,1374.39,950.13,65.67,947.7,90.07,280.77,10.12
General cargo ship,5.8,1592.5,5044.7,760.01,1573.88,1912.87,797.95,1393.3,100.64,318.8,15.82
Bulk carrier,4.01,389.95,1220.37,0,1114,64.34,42.03,354.3,88.3,276.35,4.42
Bulk carrier,5.45,1524.37,4774.62,107.08,2198.08,2226.11,243.34,1728.2,90.91,284.76,16.77
General cargo ship,5.47,3091,9763.71,1775.65,1278.58,6444.71,264.78,3488,76.38,241.26,40.47
Oil tanker,5.87,1660.66,5214.34,487.65,2988.9,883.39,854.4,1315,109.16,342.76,15.21
Chemical tanker,10.28,244.86,766.1,242.18,178.57,277.52,67.84,311.7,63.98,200.18,3.83
Chemical tanker,10.14,1521,4808.67,598.73,1762.61,2023.39,423.94,1954.4,69.12,218.52,22.01
Chemical tanker,10.9,460.91,1441.65,603.71,574.54,0,263.39,429.9,82.57,258.28,5.58
Bulk carrier,6.79,892.35,2818.29,0,1101.86,1693.67,22.76,1556.5,53.57,169.2,16.66
Vehicle carrier,18.91,2217.04,6993.07,719.65,2245.59,3872.17,155.65,1386.9,102.58,323.56,21.61
Vehicle carrier,19.9,487.88,1547.11,1376.41,119.07,0,51.62,456.4,95.64,303.3,5.1
General cargo ship,12.86,72.81,233.43,0,99.39,115.55,18.5,376.41,30.76,98.61,2.37
General cargo ship,12.86,504.14,1616.26,953.43,353.08,246.97,62.79,2208.3,29.08,93.23,17.34
General cargo ship,12.96,677.86,2122.34,1222,420,400,81,2744,30.78,96.36,22.02
General cargo ship,12.86,455.56,1428.18,585,524,276,43,1797,35.16,110.22,12.96
General cargo ship,12.86,501.04,1578.62,650,313,493.4,122,1989,35.78,112.73,14
General cargo ship,16.65,2966.89,9443.41,9046.89,0,0,396.52,5339.26,45.14,143.66,65.73
General cargo ship,16.65,2352.05,7479.41,5464.14,653.29,987.09,374.88,4707.35,44.23,140.66,53.18
Container ship,20.16,5454.65,16986.05,43.6,9274.63,7359.29,308.54,2849.1,139.57,434.62,39.08
Oil tanker,5.05,1194.2,3740.8,0,1136.3,2133.86,470.64,550.3,198.48,621.74,6.02
Bulk carrier,4.28,182.24,574.47,0,574.47,0,0,215.39,129.14,407.08,1.41
Container ship,22.79,2706.22,8512.74,1711.58,2298.98,3899.8,602.38,3527.7,71.74,225.65,37.72
Bulk carrier,3.97,2028.68,6343.37,0,1816.87,4379.27,147.22,1709.7,99.84,312.19,20.32
General cargo ship,12.03,2030.53,6369.68,3506.02,1097.21,1350.79,415.67,3657.7,58.18,182.5,34.9
Chemical tanker,5.49,1387.68,4351.52,65.21,1231.36,2780.75,274.2,1275,89.29,279.98,15.54
Ro-pax ship,3.26,20001.21,63024.06,58073.85,0,0,4291.66,4423.5,231.29,728.8,86.48
Bulk carrier,3.8,1240.32,3879.31,0,2254.18,1424.06,201.06,1170.57,91.61,286.53,13.54
Bulk carrier,3.8,1141.96,3572.04,659.87,1246.39,1441.81,223.97,1572.07,62.99,197.02,18.13
Bulk carrier,7.05,767,2401.95,0,1185.03,1126.52,90.41,696.5,116.8,365.76,6.57
Bulk carrier,5.64,1399.18,4408.96,37.29,1956.82,2091,323.85,1084.38,106.1,334.32,13.19
Bulk carrier,5.64,881.05,2759.3,0,278.92,2464.35,16.03,1365.67,93.66,293.32,9.41
Bulk carrier,6.16,399.65,1253.49,0,756,456,42,654,55.75,174.85,7.17
Chemical tanker,7.78,333.92,1040.16,0,77.29,951.6,11.3,274,108.95,339.37,3.06
Ro-pax ship,24.67,9590.01,30745.56,11113.18,7984.14,8099.41,3548.84,4957.08,127.01,407.2,75.51
Ro-pax ship,25.22,10792.46,33679.62,8969.69,10035.62,10401.69,4272.61,4938,151.98,474.28,71.01
Container ship,15.52,2624,8171.58,0,3916.48,4217.92,37.18,846.9,222.2,691.98,11.81
Oil tanker,4.93,1968.9,6172.4,61.23,2981.77,2380.15,749.24,1345.9,126.86,397.7,15.52
General cargo ship,NA,393,1231.34,0,93,1130.8,5.6,1387,37.82,118.49,10.39
Chemical tanker,7.6,170.41,542.65,70.15,102.58,229.04,140.88,243.4,58.86,187.42,2.9
Chemical tanker,7.6,395.85,1259.78,102.6,788.24,19.88,349.07,523.45,63.85,203.21,6.2
Chemical tanker,7.6,754.94,2362.46,162.4,772.01,1353.19,74.87,1321.3,48.61,152.11,15.53
Oil tanker,5.66,790.61,2512.85,142.67,1869.41,0,500.78,393.6,225.31,716.12,3.51
Chemical tanker,5.45,1798.35,5695.08,235,3152.02,2040.41,267.67,1692.22,94.88,300.47,18.95
Oil tanker,6.91,400.24,1265.48,0,541.29,614.13,110.06,232,179.88,568.76,2.23
Chemical tanker,14.51,2250.99,7208.01,1060.28,2813.13,2338.92,995.64,2702.5,88.55,283.55,25.42
Chemical tanker,14.54,2720.3,8690.75,6195.55,954.03,687.91,853.27,3202.88,78.72,251.5,34.56
General cargo ship,14.7,1681.71,5391.57,2347.69,1396.6,1097.65,548.63,3506.33,44.49,142.62,37.8
General cargo ship,13.86,1729.49,5411.18,3558.08,764.36,584.91,503.82,3710.7,49.01,153.33,35.29
Chemical tanker,7.29,4608,14598.6,736,5656,7310,897,4673,110.54,350.21,41.69
Chemical tanker,7.38,6022,19099.54,704,8285,9184,929,5642,105.44,334.43,57.11
General cargo ship,14.58,838.36,2662.66,102.43,1740.77,498.14,321.31,938.5,69.72,221.45,12.02
General cargo ship,14.3,2270.26,7181.86,936.08,3368.08,2548.62,329.06,2627.23,72.31,228.74,31.4
Container ship,15.51,1414.55,4404.91,0,3077.32,1303.08,24.51,376,254.83,793.55,5.55
Container ship,15.51,507.03,1578.89,0,0,1578.9,0,86.3,307.05,956.15,1.65
Chemical tanker,4.95,1844.44,5783.21,685.5,1608.93,3174.76,314.03,1567.78,95.87,300.61,19.24
Container ship,14.42,3458.56,10776.76,0,7569.88,3187.58,19.3,2377.35,109.47,341.09,31.59
Container ship,14.42,2220.16,6917.69,0,5078.57,1831.38,7.73,1299.63,121.7,379.19,18.24
Container ship,17,4241.19,13220.31,0,9278.42,3915.76,26.13,2819.97,109.66,341.82,38.68
Container ship,17,2825.04,8804.74,0,5971.64,2823.04,10.05,1800.27,113.06,352.38,24.99
Container ship,38.21,3890.48,12443.58,9906,751.8,983.6,761.1,4745.2,69.11,221.04,56.29
Container ship,36.54,4237.23,13231.05,6778.92,1195.18,4875,381.94,4885.5,72.97,227.85,58.07
Container ship,30.75,5051.18,16083.43,7336.75,5309.46,2524.32,912.91,5449.02,72.9,232.12,69.29
General cargo ship,32.11,3167,10153.4,8305.46,581.25,801.18,464.87,4347.5,70.45,225.87,44.95
Bulk carrier,3.78,660.51,2083.08,0,1984.57,0,98.52,444.82,146.26,461.27,4.52
General cargo ship,14.26,2548.27,8050.73,2116.05,3150.38,2625.95,158.34,4973.7,47.59,150.35,53.55
General cargo ship,14.34,2964.99,9359.02,3156.16,3571.66,2400.25,230.98,5775.4,48.47,153.01,61.17
General cargo ship,14.23,2252.04,7115.94,2811.82,2403.54,1739.25,161.34,4405.2,47.61,150.44,47.3
General cargo ship,19.54,1986.2,6284.11,1255.2,1847,3051.3,130.8,4152,46.48,147.07,42.73
Container ship,25.14,3985.42,12424.57,759.23,5224.89,6075.75,364.73,3807.62,82.11,255.99,48.54
Container ship,31.22,6096.26,19006.37,2873.91,6630.98,9001.22,500.25,5632,87.05,271.4,70.03
Gas carrier,18.22,579.85,1813.2,515.31,1193.11,100.84,3.89,660.8,70.78,221.34,8.19
General cargo ship,10.58,1647.5,5223.74,535.3,2760.6,1793.7,134,2176.7,59.66,189.16,27.61
Chemical tanker,16.05,1955.9,6270.61,4332.36,168.96,82.71,1686.58,3035.11,67.8,217.35,28.85
Chemical tanker,10.18,3040,9746.24,8144.8,0,0,1601.1,2145.1,160.83,515.62,18.9
Oil tanker,9.89,2443.57,7655.24,254.19,3068.86,3870.14,462.05,3416.8,66.57,208.56,36.71
Chemical tanker,9.67,1547.6,4869.24,568.42,2726.31,794.16,780.34,1806.5,78.1,245.74,19.82
Chemical tanker,7.9,2662.99,8363.43,1705.84,3257.81,2636.37,763.41,2711.3,87.28,274.11,30.51
Bulk carrier,7.27,102.88,325.4,0,319.82,0,5.58,112,74.7,236.26,1.38
Oil tanker,5.22,3239.18,10200.41,1071.8,2295.5,5918.9,695.8,3787.28,89.96,283.29,36.01
Oil tanker,5.35,657.23,2087.15,0,448.62,1303.66,334.87,674,100.79,320.07,6.52
Oil tanker,5.76,2486.32,7879.03,0,4581.57,2965.9,331.56,2683.48,82.91,262.73,29.99
Oil tanker,5.37,1711.51,5442.58,687.25,1176,2300.79,1278.55,1503.2,95.14,302.53,17.99
Container ship,19.1,2273.9,7081.38,0,2394.54,4336.13,350.72,1243.5,137.79,429.1,16.5
Bulk carrier,8.97,850.06,2659.92,0,1219,1341,100,1453,74.49,233.08,11.41
Container ship,33.49,2905.95,9298.76,2297.43,2581.26,3249.08,1170.99,2626.16,86.52,276.85,33.59
Gas carrier,18.22,1148.17,3621.09,2887.56,0,541.52,192.02,847.5,108.49,342.16,10.58
Oil tanker,4.86,3365.42,10538.99,0,2599.01,6829.43,1110.54,1821,167.19,523.57,20.13
Oil tanker,4.86,630.97,1969.84,0,750.47,855.26,364.11,269.5,226.44,706.92,2.79
LNG carrier,5.67,14117.2,39136.61,1665.51,16612.03,18822.64,2036.43,3656.2,247.46,686.03,57.05
Other ship types,14.13,3153.26,9962.5,1090.9,5398.64,3115.56,357.41,3654.4,76.34,241.2,41.31
General cargo ship,14.5,560.7,1774.27,182.42,73.74,1472.17,45.94,748.42,75.41,238.64,7.44
Gas carrier,16.86,2898,9197.17,3600.05,2775.83,2176.87,644.41,6768.35,70.65,224.21,41.02
Gas carrier,18.94,1991.07,6305.02,1031.37,2188.71,2768.85,316.11,2522.38,61.88,195.94,32.18
Bulk carrier,4.35,700.65,2207.78,923.32,976.56,106.08,201.81,600,97.04,305.77,7.22
Bulk carrier,4.68,977.11,3080.77,508.15,1130.46,1384.04,58.12,1061.9,86.55,272.88,11.29
Vehicle carrier,19.86,1259.64,3979.51,39.79,2182.52,1511.22,245.99,783.25,102.26,323.06,12.32
Vehicle carrier,20.51,5079.13,15937.59,4603.45,1569.59,9158.49,606.06,3756.4,97.57,306.17,52.06
Container ship,28.01,4524.5,14122.04,11373.89,851.71,1459.78,436.66,5153.93,76.11,237.55,59.45
General cargo ship,14.15,2727.06,8555.82,1769.84,2766.23,3870.74,149.01,5060.57,45.72,143.45,59.65
General cargo ship,13.26,1602.9,5010.89,931.93,1745.32,2120.18,213.46,2516.6,54.44,170.17,29.44
General cargo ship,13.2,2233.66,7054.02,404.51,3137.56,3382.31,129.65,3635.43,56.12,177.23,39.8
General cargo ship,14.26,1556.08,4874.09,306.17,1931.14,2509.49,127.28,2571.1,58.71,183.89,26.5
General cargo ship,10.53,339.8,1079.11,190.36,140.31,711.57,36.87,706.3,50.84,161.45,6.68
General cargo ship,14.35,1364.33,4374.04,2837.52,497.23,963.02,76.26,5425.09,34.36,110.17,39.71
General cargo ship,14.33,1499.86,4808.55,952.85,1675.78,2081.39,98.51,4206.2,34.1,109.31,43.98
Container ship,18.99,10697.4,33751.6,14832.31,4773.64,11982.66,2162.97,3681,215.36,679.5,49.67
Chemical tanker,6.11,1096.09,3440.03,269.69,312.14,2290.37,567.82,705.7,128.42,403.05,8.54
LNG carrier,7.64,10987.2,30836.22,6049.7,9854.13,14127.38,805,2454,331.63,930.74,33.13
Bulk carrier,3.72,2056.79,6409.59,406.38,2044.58,3834.88,123.73,1442.4,93.12,290.18,22.09
Ro-pax ship,NA,1743.75,5590.46,2218.42,677.78,2531.43,162.83,3939.02,75.84,243.15,22.99
Bulk carrier,4.89,979.89,3082.57,0,1533.73,1479.92,68.93,743.52,112.53,353.99,8.71
General cargo ship,11.42,760.7,2388.91,0,1161.71,1142.56,84.64,1205.88,62.4,195.95,12.19
General cargo ship,13.12,1597.13,5061.98,1413.2,1668.3,1757.63,222.85,2701.08,54.7,173.38,29.2
General cargo ship,13.12,551.3,1731.52,0,493.6,990.06,247.87,741.6,68.54,215.28,8.04
General cargo ship,7.53,881.51,2783.36,135.89,1475.06,1048.33,124.09,931.3,74.96,236.7,11.76
Bulk carrier,6.94,597.7,1892.65,755.73,934.81,24.69,177.42,925.97,65.67,207.94,9.1
Bulk carrier,6.29,885.73,2803.22,176.25,1693.61,489.76,443.59,1023,91.5,289.57,9.68
Bulk carrier,6.62,1268.97,3991.55,214.97,2697.4,810.32,268.86,1488.63,86.78,272.98,14.62
Bulk carrier,10.38,1141.94,3636.1,1332.72,1047.47,1042.24,213.68,2068.81,55.26,175.95,20.66
General cargo ship,6.35,650.74,2048.91,476.11,1020.88,286.89,265.04,1062.7,72.44,228.09,8.98
General cargo ship,11.53,1722.58,5410.8,1597.67,1666.16,1983.19,163.76,2687.36,54.39,170.85,31.67
Chemical tanker,7.67,3811.2,11905.02,709.15,5470.36,5380.22,345.29,3820.08,85.22,266.21,44.72
Bulk carrier,3.83,632.16,1989.25,0,0,1989.25,0,589.2,97.89,308.03,6.46
Oil tanker,3.87,4564.36,14442.48,0,6606.52,6028.1,1807.86,2387,173.8,549.94,26.26
Oil tanker,3.77,5942.64,18640.21,1204.07,9009.27,5952.11,2474.75,5133.81,139.01,436.04,42.75
Oil tanker,3.75,5637.08,17662.57,2529.59,6343.96,6855.6,1933.42,4548.67,165.39,518.22,34.08
Bulk carrier,7.08,871.96,2745.18,210.63,1055.16,1421,62,1244,63.41,199.65,13.75
General cargo ship,6.13,504.6,1593.35,43.92,1468.64,0,80.79,471,81.82,258.37,6.17
General cargo ship,7.3,946.12,2973.77,228.84,216.66,2268.99,259.27,723.4,114.49,359.85,8.26
Bulk carrier,9.94,60.88,191.03,0,0,185.77,5.26,253.58,62.76,196.94,0.97
Container ship,30.9,4672.4,14789.07,12282.41,1014.96,749.13,742.55,5242.8,93.15,294.82,50.16
Container ship,36.91,5540.4,17477.66,15787.9,389.2,421,879.5,5372,99.71,314.56,55.57
Container ship,36.75,6171.6,19786.15,0,11258.2,8101.2,426.7,4585,94.33,302.42,65.43
Other ship types,25,682.22,1751.8,23.08,1429.37,0,299.34,449.48,135.28,347.37,5.04
Other ship types,25,2124.3,6468.94,1934.44,1083.98,2875.52,574.99,1394.27,114.16,347.64,18.61
Oil tanker,2.59,2620.69,8222.3,0,4069.32,3213.58,939.4,994.1,254.78,799.37,10.29
Oil tanker,14.48,2621.32,8403.95,4995.49,987.86,1100.2,1320.39,4342.34,72.88,233.65,35.97
Gas carrier,19.45,1465.37,4596.44,143.64,2260.08,2022.8,169.92,1514.9,68.31,214.28,21.45
Gas carrier,19.45,2205.48,6908.02,85.02,3122.21,3557.75,143.05,2588.42,67.54,211.55,32.65
Chemical tanker,8.43,1881.4,6031.77,1729.8,1083.88,1029.93,2188.16,1851.38,93.05,298.33,20.22
Chemical tanker,15.77,1129.54,3621.3,154.05,1712.77,1233.83,520.65,1283.24,108.86,348.99,10.38
Oil tanker,12.81,2728.55,8617.12,7162.93,176.47,103.51,1174.21,4254.97,61.39,193.88,44.45
Container ship,18.9,4308.1,13629.22,11494.81,281.22,484.67,1368.36,4125.2,93.21,294.9,46.22
Container ship,22,4938,15696.67,13171.19,826.34,366.86,1332.28,4380.16,97.88,311.13,50.45
Gas carrier,7.1,1940.1,6082,0,3922.5,1877.69,281.81,1082.2,118.32,370.93,16.4
Gas carrier,7.1,1136.6,3554.86,0,1444.85,1880.78,229.23,656.2,130.27,407.42,8.72
General cargo ship,10.52,863.5,2743.4,660.56,999.02,977.1,106.63,3062.27,35.11,111.55,24.59
Container ship,18.82,16583.56,52285.41,8038.54,22403.68,19906.61,1936.58,5111,210.15,662.58,78.91
