Ship type,Technical efficiency,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between diffrenet ports under a MS jurisdiction [m tonnes],CO₂ emissions produced when ships depart from various ports to start their journeys.under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to destination ports under a MS jurisdiction [m tonnes],"CO₂ emissions while ships are in port, either docked or berthed under a MS jurisdiction at berth [m tonnes]",Annual Time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Distance Travelled by Ship(nmiles in thousands)
General cargo ship,11.97,228.9,723.83,169.96,44.56,485.9,23.4,590.26,38.81,122.74,5.9
General cargo ship,11.97,311.04,975.03,0,325.9,630.05,19.08,506,48.14,150.91,6.46
Refrigerated cargo carrier,20.37,2299.4,7228.89,3013.6,2780.4,773.7,661.1,1449.7,99.08,311.5,23.21
Refrigerated cargo carrier,25.61,761.78,2397.13,0,1430.61,902.11,64.41,515.99,84.32,265.34,9.03
Container ship,16.29,7376.06,23268.35,4982.88,9417.55,8189.6,678.32,2909.6,198.69,626.79,37.12
Ro-pax ship,59.1,4736.58,15185.48,14183.17,0,0,1002.32,4707.1,78.54,251.79,60.31
Container ship,16.65,5395.3,17027.68,7636.92,3584.56,3997.23,1808.95,4427.6,107.84,340.34,50.03
Ro-pax ship,16.65,5692.26,17825.2,4410.78,5495.22,5495.22,2423.96,3607.5,120.48,377.28,47.25
Ro-pax ship,58,2354.08,7547.18,7183.28,0,0,363.89,2469.76,74.59,239.14,31.56
Bulk carrier,7.85,1827.14,5713.66,270.83,1987.52,3422.35,32.93,1386.23,118.66,371.06,15.4
Bulk carrier,6.2,377.54,1191.28,0,79.22,1099.24,12.82,819,50.72,160.05,7.44
Refrigerated cargo carrier,27.85,472.3,1479.27,0,812.22,589.8,77.26,601.3,60.58,189.73,7.8
Other ship types,19.96,838.1,2650.7,329.58,1724.41,501.32,95.4,1308.83,52.04,164.59,16.1
Refrigerated cargo carrier,27.88,1148.8,3598.45,0,1723.9,1641.47,233.08,1713.45,53.72,168.28,21.38
Refrigerated cargo carrier,21.4,1586.4,4967.74,402.1,2501.5,1723.5,340.6,1590,63.28,198.15,25.07
General cargo ship,16.34,386.77,1239.99,427.26,302.51,424.48,85.73,1325.92,37.73,120.96,10.25
General cargo ship,19.2,379.35,1194.09,52.09,485.49,584.73,71.78,896.9,41.56,130.8,9.13
General cargo ship,12.16,813.6,2570.95,835.5,865.52,748.73,121.19,2608.67,35.92,113.51,22.65
Refrigerated cargo carrier,25.6,1735.2,5436.4,12.82,3129.1,1844.36,450.12,1864.3,66.21,207.43,26.21
